,year,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy,Total
0,1976.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.44
1,1977.0,1.71,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,1.98
2,1978.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,2.53,0.0,0.15,0.0,3.2699999999999996
3,1979.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31
4,1980.0,0.79,1.3,0.77,2.71,0.0,0.0,0.32,0.0,8.049999999999999,0.0,1.0,0.0,14.94
5,1981.0,14.84,0.0,0.0,0.0,6.93,2.2399999999999998,0.48,0.0,10.040000000000001,0.45,0.79,0.0,35.77
6,1982.0,6.5200000000000005,0.0,0.47,0.87,5.03,10.03,1.5699999999999998,0.0,3.79,0.0,1.05,0.0,29.330000000000002
7,1983.0,3.13,0.4,0.0,2.14,6.93,0.78,0.0,0.0,0.48,0.0,3.2,0.0,17.06
8,1984.0,1.85,0.0,0.0,1.45,0.69,3.14,5.95,0.0,31.099999999999998,0.0,6.18,0.0,50.36
9,1985.0,3.52,0.0,1.05,0.0,43.17,3.21,0.0,0.0,1.0,0.03,1.96,0.0,53.940000000000005
10,1986.0,13.74,0.0,0.0,0.0,9.39,0.0,1.96,2.52,3.89,0.0,5.57,0.0,37.07000000000001
11,1987.0,1.12,4.38,5.42,0.0,1.7400000000000002,0.0,0.0,4.65,0.71,0.0,3.7199999999999998,0.0,21.740000000000002
12,1988.0,1.75,0.0,0.0,0.0,27.73,5.58,2.14,5.88,0.51,0.03,3.5999999999999996,0.0,47.220000000000006
13,1989.0,4.64,0.0,0.0,1.28,20.66,37.75,0.0,2.2,1.2,0.0,5.720000000000001,0.0,73.45
14,1990.0,6.390000000000001,0.0,0.0,0.0,22.97,6.0,6.26,4.52,0.0,1.14,2.11,0.0,49.39
15,1991.0,6.76,2.24,0.39,0.08,7.64,3.24,1.14,3.25,2.0,2.14,2.41,0.94,32.230000000000004
16,1992.0,4.04,12.25,15.25,4.9399999999999995,13.42,4.84,9.04,6.86,0.29000000000000004,2.14,2.9499999999999997,0.37,76.39000000000001
17,1993.0,1.81,0.07,8.75,0.3,18.67,3.17,0.36,5.59,3.08,0.19,3.18,0.81,45.98
18,1994.0,1.5499999999999998,3.74,8.48,2.8600000000000003,28.740000000000002,1.53,2.19,7.11,8.3,2.73,8.39,3.56,79.18
19,1995.0,3.57,0.72,14.85,6.3999999999999995,16.69,2.71,6.09,14.26,4.15,4.18,7.9799999999999995,6.51,88.11000000000001
20,1996.0,20.58,4.19,18.06,10.68,28.23,3.9099999999999997,28.24,43.96,6.91,11.33,17.45,5.61,199.15
21,1997.0,27.59,4.97,11.76,5.69,22.88,5.89,31.91,21.79,22.17,9.65,30.22,7.72,202.23999999999998
22,1998.0,39.44,9.09,31.66,11.950000000000001,29.88,6.34,27.900000000000002,28.080000000000002,9.799999999999999,7.11,43.25,13.46,257.96000000000004
23,1999.0,28.96,7.6,14.26,20.65,20.82,1.3699999999999999,37.27,49.09,12.26,11.44,30.29,18.46,252.47
24,2000.0,34.13,2.98,20.22,15.540000000000001,16.06,3.82,20.29,29.04,6.81,3.39,41.19,8.53,201.99999999999997
25,2001.0,59.57,11.68,18.12,16.68,39.28,8.0,55.81,22.060000000000002,24.77,19.95,52.02,7.55,335.49
26,2002.0,89.11,11.06,25.15,16.74,46.26,5.35,32.38,46.43,49.34,10.809999999999999,67.79,5.59,406.00999999999993
27,2003.0,68.01,2.15,23.93,23.82,42.89,2.64,52.24,30.37,27.22,21.19,65.43,8.05,367.94
28,2004.0,76.61,8.7,17.56,31.32,47.26,9.15,47.83,54.0,47.49,10.83,64.14,7.19,422.08
29,2005.0,86.61,8.52,22.73,61.11,23.580000000000002,20.419999999999998,56.07,28.54,42.25,48.92,60.38,5.31,464.44000000000005
30,2006.0,66.74,11.42,22.8,67.38000000000001,49.97,10.85,33.96,58.06,40.6,21.91,137.70000000000002,4.26,525.6500000000001
31,2007.0,106.34,24.16,17.51,96.85,35.13,23.830000000000002,38.92,43.51,70.75,48.53,97.93,9.43,612.89
32,2008.0,143.7,24.95,35.21,89.5,35.19,15.35,70.24,59.88,59.3,46.24,96.51,12.22,688.2900000000001
33,2009.0,137.91,20.7,32.02,76.21000000000001,40.68,19.91,33.71,47.51,69.92,33.87,137.81,12.46,662.71
34,2010.0,116.83,16.38,14.75,96.48,31.13,11.45,34.74,69.77,79.48,22.14,93.05,14.37,600.5699999999999
35,2011.0,124.16,15.780000000000001,22.4,55.25,27.81,5.08,36.91,53.43,98.6,15.42,56.52,9.12,520.4799999999999
36,2012.0,119.61,5.82,9.25,22.31,18.630000000000003,1.81,13.75,47.11,71.94,13.89,30.52,3.4299999999999997,358.07
37,2013.0,123.9,6.21,7.12,25.87,25.0,0.95,12.44,45.12,62.22,8.83,41.54,6.14,365.34000000000003
38,2014.0,99.63,5.97,16.04,24.64,9.0,1.57,16.990000000000002,46.5,65.75,5.8,45.410000000000004,1.08,338.38
39,2015.0,75.69,8.83,8.22,12.37,6.27,0.78,8.43,39.17,69.14,5.92,41.5,1.95,278.2699999999999
40,2016.0,38.7,5.28,4.97,4.71,5.39,0.04,3.85,28.990000000000002,49.44,2.58,30.380000000000003,1.6,175.93
